date,region,price_index,CLS_ID,CLS_NM,CLS_FULLNM,WRTTIME_DESC,WRTTIME_IDTFR_ID,mom_pct,yoy_pct,base_rate,loan_rate,household_loan,price_yoy,loan_yoy,base_rate_lag3,loan_rate_lag3,construction_start_area_sqm,completion_proxy_sqm,completion_proxy_yoy,sale_listings,jeonse_listings,wolse_listings,total_listings,sale_share_pct,total_listings_yoy,sale_listings_yoy
2019-03-01,서울,116.253044825223,500007,서울,서울,2019년 3월,201903,-0.8596290153786157,9.47127172453408,1.75,1.95,718745.2,9.47127172453408,7.458467305346739,1.75,2.05,10659525.0,11130695.445924858,-9.497500666254066,,,,,,,
2019-04-01,서울,116.307175599939,500007,서울,서울,2019년 4월,201904,0.0465628877053259,8.114358518464693,1.75,1.88,722700.1,8.114358518464693,7.363864658857189,1.75,2.0,11014065.0,11044570.72706635,-9.71499598336204,,,,,,,
2019-05-01,서울,117.392748772897,500007,서울,서울,2019년 5월,201905,0.933367324379053,8.586552352249832,1.75,1.86,727411.6,8.586552352249832,7.373365217134586,1.75,1.93,11100662.0,10969573.190883413,-9.777283746880272,,,,,,,
2019-06-01,서울,119.828583278123,500007,서울,서울,2019년 6월,201906,2.074944603212492,10.216657646497596,1.75,1.79,732050.7,10.216657646497596,7.385057171981524,1.75,1.95,9165649.0,10905481.910406979,-9.688357721018015,,,,,,,
2019-07-01,서울,122.386555554748,500007,서울,서울,2019년 7월,201907,2.134692914367453,10.861126117243058,1.5,1.69,738213.3,10.861126117243058,7.66778596169797,1.75,1.88,8936557.0,10851145.284219896,-9.456538037476502,,,,,,,
2019-08-01,서울,124.1285252755,500007,서울,서울,2019년 8월,201908,1.423334215801786,7.784099262019795,1.5,1.52,745805.3,7.784099262019795,7.873634557734266,1.75,1.86,7997189.0,10804751.78892662,-9.096330047380475,,,,,,,
2019-09-01,서울,125.514330175098,500007,서울,서울,2019년 9월,201909,1.1164274259459983,3.1066720249133484,1.5,1.57,750704.1,3.1066720249133484,7.87205957919348,1.75,1.79,6831131.0,10763784.034755465,-8.631387823864866,,,,,,,
2019-10-01,서울,127.534898928292,500007,서울,서울,2019년 10월,201910,1.609831124760985,4.041655605189232,1.25,1.55,758262.3,4.041655605189232,7.939184355997519,1.5,1.69,10545954.0,10725646.12365034,-8.092413889938044,,,,,,,
2019-11-01,서울,129.950088584013,500007,서울,서울,2019년 11월,201911,1.893748045449884,7.584776305046992,1.25,1.62,764609.8,7.584776305046992,7.872366870825842,1.5,1.52,9794395.0,10687371.366717262,-7.520010529145127,,,,,,,
2019-12-01,서울,132.218916121444,500007,서울,서울,2019년 12월,201912,1.745922270737199,10.75188663977029,1.25,1.6,767718.8,10.75188663977029,7.661626266381472,1.5,1.57,8137742.0,10646421.84748344,-6.958680188516942,,,,,,,
2020-01-01,서울,133.35866946729,500007,서울,서울,2020년 1월,202001,0.862019882842735,12.902081917517227,1.25,1.54,768736.4,12.902081917517227,7.704930205970495,1.25,1.55,6257591.0,10600417.244075965,-6.455097077916106,,,,,,,
2020-02-01,서울,135.309839627372,500007,서울,서울,2020년 2월,202002,1.463099600405493,15.391968603447314,1.25,1.43,772063.2,15.391968603447314,7.8251314500022096,1.25,1.62,7815324.0,10547489.152763495,-6.052732564403806,,,,,,,
2020-03-01,서울,136.357776027364,500007,서울,서울,2020년 3월,202003,0.7744716887388758,17.29393946830968,0.75,1.27,780604.9,17.29393946830968,8.606624433804932,1.25,1.6,12300748.0,10486355.862113569,-5.788852879333728,,,,,,,
2020-04-01,서울,135.234318029533,500007,서울,서울,2020년 4월,202004,-0.8239046063684308,16.273409041156285,0.75,1.2,785729.9,16.273409041156285,8.721432306429744,1.25,1.54,10655929.0,10416411.296076925,-5.687495209297966,,,,,,,
2020-05-01,서울,135.876575646136,500007,서울,서울,2020년 5월,202005,0.4749220656126152,15.745288415553691,0.5,1.07,789444.8,15.745288415553691,8.527936590508055,1.25,1.43,11156077.0,10337971.963529568,-5.75775571540701,,,,,,,
2020-06-01,서울,140.977537499384,500007,서울,서울,2020년 6월,202006,3.75411422387657,17.64934011793673,0.5,0.89,794967.3,17.64934011793673,8.594568654875957,0.75,1.27,10378334.0,10252047.591520859,-5.991796825251294,,,,,,,
2020-07-01,서울,148.210120118535,500007,서울,서울,2020년 7월,202007,5.130308521088045,21.10000109630929,0.5,0.82,800828.5,21.100001096309292,8.481992941606432,0.75,1.2,10742804.0,10160279.613208337,-6.366753489295185,,,,,,,
2020-08-01,서울,152.979708196686,500007,서울,서울,2020년 8월,202008,3.2181257759837267,23.24299177578366,0.5,0.81,811881.2,23.24299177578366,8.859671552347503,0.5,1.07,8672910.0,10064733.723701375,-6.849005693806509,,,,,,,
2020-09-01,서울,155.084979204554,500007,서울,서울,2020년 9월,202009,1.376176639820259,23.559580000310444,0.5,0.88,820959.0,23.559580000310444,9.358534208085455,0.5,0.89,10904098.0,9967851.572358526,-7.394541360426143,,,,,,,
2020-10-01,서울,156.361286371114,500007,서울,서울,2020년 10월,202010,0.8229727811850607,22.602744570354805,0.5,0.88,830864.1,22.602744570354805,9.574760607246311,0.5,0.82,9320325.0,9871899.57937113,-7.959861200311991,,,,,,,
2020-11-01,서울,159.317910804271,500007,서울,서울,2020년 11월,202011,1.8908928813361257,22.599309119571444,0.5,0.9,843887.8,22.599309119571444,10.368425829750016,0.5,0.81,12431860.0,9779064.100439543,-8.498883730253636,,,,,,,
2020-12-01,서울,162.681595107407,500007,서울,서울,2020년 12월,202012,2.1113032967576384,23.03957699818291,0.5,0.9,849869.4,23.03957699818291,10.700610692352464,0.5,0.88,13063740.0,9691041.629635219,-8.973721232679221,,,,,,,
2021-01-01,서울,167.844975533365,500007,서울,서울,2021년 1월,202101,3.173917997637643,25.859815641407337,0.5,0.87,856522.3,25.859815641407337,11.41950608817275,0.5,0.88,7640798.0,9609154.806381308,-9.351164344484875,,,,,,,
